product_category_name,avg_review_score
"Seguros E Servicos",2.5
"Portateis Cozinha E Preparadores De Alimentos",3.4
"Fraldas Higiene",3.4
"Moveis Escritorio",3.5
"Pc Gamer",3.6
"Casa Conforto 2",3.6
"Fashion Roupa Masculina",3.8
Audio,3.8
"Artigos De Festas",3.8
"Telefonia Fixa",3.8
